Air temperature [K],Torque [Nm],Tool wear [min],Failure Type
297.6,62.4,173,0
300.6,42.4,90,0
302.0,21.5,20,0
298.8,47.4,210,0
296.8,25.2,116,0
300.7,44.0,126,0
298.1,30.9,61,0
300.4,35.0,119,0
298.3,28.0,42,0
300.4,41.6,160,0
295.6,54.8,49,0
301.9,51.1,173,0
302.5,38.6,3,0
303.6,48.2,17,0
301.5,44.6,49,0
299.0,60.5,120,0
297.6,44.3,43,0
295.4,50.7,192,0
296.9,53.5,88,0
302.2,56.6,76,0
301.3,44.3,47,0
297.3,36.8,216,0
299.2,23.9,4,0
298.0,43.4,113,0
299.7,42.8,30,0
304.1,49.6,34,0
300.8,41.1,176,0
297.0,47.9,54,0
301.9,54.9,128,0
302.2,45.2,39,0
302.2,43.8,88,0
302.1,42.5,198,0
300.4,38.0,181,0
296.9,54.5,172,0
299.0,42.7,50,0
297.5,37.9,136,0
300.3,31.4,43,0
303.4,28.4,200,0
298.6,42.4,2,0
298.5,48.9,127,0
301.4,36.0,196,0
297.7,49.5,91,0
298.9,43.8,12,0
300.3,37.1,187,0
295.5,50.8,18,0
301.0,28.8,138,0
301.8,36.4,120,0
303.9,29.0,95,0
301.5,47.4,34,0
301.0,45.4,36,0
297.9,21.3,29,0
303.4,24.7,125,0
300.8,40.8,28,0
303.0,38.5,134,0
300.3,33.7,199,0
297.7,38.3,60,0
297.2,43.7,46,0
302.3,36.1,109,0
297.4,53.2,115,0
300.0,24.9,70,0
301.7,58.1,168,0
300.4,52.5,144,0
300.5,25.5,98,0
300.4,34.0,6,0
297.9,35.9,120,0
301.4,30.3,2,0
299.3,28.0,6,0
301.7,13.7,149,0
300.4,32.0,169,0
302.5,54.0,86,3
301.1,36.6,28,0
302.0,32.5,25,0
298.9,39.8,114,0
301.2,50.8,118,0
298.0,28.3,196,0
302.4,36.6,212,0
300.7,47.2,131,0
300.6,30.4,121,0
298.7,54.3,128,0
300.1,57.4,99,0
302.8,70.5,234,1
300.9,35.4,186,0
297.2,39.7,115,0
298.3,44.3,71,0
301.3,46.9,59,0
300.4,47.2,0,0
298.3,50.1,96,0
299.7,41.0,192,0
301.1,60.7,100,0
300.7,47.2,216,0
298.3,30.8,2,0
298.2,54.0,18,0
302.6,29.6,160,0
298.7,45.3,67,0
303.3,47.4,18,0
300.1,30.1,216,0
301.2,28.9,38,0
298.0,34.1,11,0
297.3,42.0,142,0
298.9,40.8,11,0
300.6,19.8,116,0
300.8,44.8,134,0
297.8,46.9,113,0
300.9,47.0,65,0
297.2,40.0,4,0
297.1,24.3,219,0
300.9,20.2,138,0
299.0,47.8,99,0
298.7,46.6,74,0
299.4,47.1,209,0
298.8,49.6,149,0
300.8,31.4,219,0
300.3,25.9,7,0
298.1,47.9,70,0
302.2,34.1,89,0
300.6,42.0,23,0
296.8,54.8,43,0
300.1,38.0,157,0
297.3,36.0,59,0
298.8,25.9,59,0
297.0,34.9,93,0
300.2,71.8,149,1
298.9,41.1,82,0
300.5,22.1,100,0
298.0,45.8,46,0
301.1,41.8,156,0
298.8,33.8,9,0
297.7,43.7,142,0
297.3,35.1,165,0
300.2,41.3,44,0
297.4,35.5,174,0
299.5,22.6,77,0
300.6,34.7,88,0
302.1,47.6,93,0
302.0,52.3,54,0
298.9,44.4,24,0
299.8,32.2,18,0
297.5,26.7,70,0
298.2,34.7,39,0
298.3,32.2,173,0
299.4,54.5,22,0
304.0,46.8,30,0
302.2,46.5,60,0
301.3,52.7,161,0
297.4,46.6,94,0
303.7,38.6,107,0
297.4,37.4,144,0
296.6,42.3,170,0
299.2,41.9,196,0
297.9,36.1,225,4
300.9,41.5,126,0
302.3,33.8,43,0
301.7,27.3,210,0
302.6,27.4,79,0
303.8,25.9,154,0
302.4,52.5,161,3
301.5,40.8,32,0
301.1,42.5,123,0
298.3,43.9,110,0
301.4,63.9,20,3
302.9,54.7,88,0
303.6,27.2,14,0
304.2,54.8,44,0
297.7,32.2,210,0
297.7,41.4,201,0
298.2,32.4,91,0
298.9,54.8,140,0
303.5,31.7,22,0
300.5,40.8,219,0
299.2,36.3,175,0
298.5,28.6,48,0
297.7,45.5,86,0
303.9,33.9,165,0
300.4,47.9,58,0
297.6,42.6,116,0
302.6,31.2,154,0
301.4,21.8,19,0
301.4,25.3,178,0
299.5,52.4,112,0
297.6,53.4,175,0
301.9,47.0,73,0
297.3,38.0,191,0
299.4,37.8,112,0
300.1,46.9,75,0
303.5,47.3,164,0
300.3,40.8,158,0
296.9,45.0,119,0
301.8,53.0,166,0
298.4,57.8,92,0
301.3,40.8,148,0
299.4,32.6,124,0
300.2,37.2,67,0
297.1,31.9,2,0
302.7,55.2,20,3
301.3,58.3,92,0
301.3,39.3,31,0
301.5,38.2,200,0
298.9,35.4,96,0
301.9,48.1,43,0
296.3,41.6,15,0
298.7,30.2,34,0
297.6,33.7,165,0
299.1,54.5,104,0
300.9,43.0,133,0
301.4,42.0,168,0
302.6,30.9,89,0
299.3,46.3,146,0
302.7,31.0,81,0
302.2,30.5,122,0
297.5,54.7,179,0
304.3,32.1,53,0
300.7,41.9,157,0
298.4,39.2,58,0
300.9,58.9,77,0
300.2,54.6,15,0
297.7,28.4,104,0
301.8,45.3,233,4
302.4,51.2,163,3
302.3,28.4,215,0
301.8,43.3,134,0
299.9,41.2,169,0
298.1,29.1,60,0
300.6,35.7,117,0
298.5,38.0,20,0
303.7,35.6,154,0
300.5,41.6,217,0
301.1,53.0,165,0
299.0,34.0,92,0
303.8,42.4,152,0
300.4,39.6,162,0
300.4,28.7,20,0
298.4,48.5,73,0
298.8,44.6,66,0
298.0,34.8,41,0
297.5,52.3,152,0
297.7,41.0,176,0
302.4,25.9,121,0
298.4,36.6,117,0
298.4,31.0,18,0
297.4,39.9,63,0
298.8,35.0,29,0
300.0,33.6,181,0
302.3,48.8,0,0
298.2,42.9,183,0
301.1,27.7,44,0
303.0,33.7,135,0
300.6,48.0,125,0
296.8,46.7,144,0
299.6,42.9,42,0
303.9,47.2,2,0
299.7,49.6,129,0
299.3,31.4,99,0
300.2,51.1,41,0
298.0,40.5,53,0
298.7,40.0,160,0
300.1,46.9,87,0
299.4,33.6,217,0
300.7,47.7,179,0
297.9,45.1,70,0
299.8,37.5,109,0
299.0,36.0,57,0
299.1,46.6,192,0
297.6,31.7,39,0
297.3,43.6,189,0
298.2,34.6,78,0
298.2,60.4,34,0
299.7,40.0,123,0
300.7,24.9,66,0
297.6,40.3,195,0
298.3,43.2,0,0
297.4,34.6,181,0
300.8,43.9,84,0
303.7,51.8,197,0
302.3,41.6,136,0
298.3,25.4,46,0
297.3,55.2,11,0
299.7,28.9,179,0
299.0,34.4,83,0
298.3,51.9,14,0
299.7,46.6,197,0
301.4,27.9,170,0
298.6,44.2,63,0
299.0,37.8,42,0
300.7,24.8,85,0
301.6,38.9,0,0
302.3,37.7,171,0
304.0,41.0,69,0
299.2,48.9,30,0
298.9,37.3,100,0
298.0,47.0,208,0
303.5,38.5,82,0
300.4,12.8,81,1
303.8,26.5,190,0
300.4,63.1,146,0
297.4,39.4,20,0
302.5,50.6,148,3
297.3,28.9,174,0
302.7,40.9,211,4
299.4,44.4,135,0
297.5,39.7,34,0
302.2,32.4,81,0
301.8,44.2,148,0
300.7,35.5,191,0
298.8,44.2,35,0
301.1,52.7,35,0
299.3,38.7,64,0
300.2,37.7,71,0
301.6,26.2,171,0
300.3,37.5,219,0
300.4,14.9,5,0
297.5,46.1,147,0
301.5,33.8,115,0
300.3,56.2,8,0
299.8,38.1,176,0
299.0,31.5,0,0
302.2,45.1,15,0
303.6,17.7,219,0
297.6,34.2,114,0
298.8,44.4,55,0
299.0,30.1,84,0
301.3,31.4,86,0
302.8,30.5,201,0
299.0,25.5,89,0
300.4,31.7,119,0
297.6,33.1,155,0
300.5,57.1,29,0
300.6,34.9,76,0
301.5,47.9,29,0
298.3,42.0,117,0
301.0,45.3,8,0
300.9,19.7,136,0
303.7,39.9,137,0
297.2,31.3,192,0
298.2,44.3,37,0
297.4,53.7,68,0
300.6,50.0,130,0
301.3,17.4,143,0
298.6,34.2,119,0
300.2,49.3,59,0
298.9,44.4,198,0
297.5,30.3,26,0
297.0,61.2,200,2
301.4,43.8,182,0
298.8,43.8,147,0
301.9,33.1,126,0
299.7,52.1,176,0
299.2,37.3,37,0
297.9,54.4,82,0
297.8,40.8,137,0
303.3,20.6,130,0
303.4,33.9,78,0
302.2,44.5,113,0
303.6,38.2,117,0
298.2,39.1,100,0
297.5,34.6,142,0
298.7,38.1,198,0
303.3,40.0,50,0
298.9,38.3,23,0
299.1,61.4,64,0
300.9,48.1,22,0
298.2,53.4,110,0
299.5,19.3,177,0
301.8,43.7,138,0
300.5,47.9,114,0
299.7,30.6,148,0
299.3,37.0,78,0
297.1,31.4,171,0
301.4,43.2,13,0
304.0,36.7,117,0
301.5,39.6,144,0
300.0,30.1,35,0
299.1,35.0,74,0
298.7,21.7,29,0
298.9,26.8,216,0
302.5,43.8,218,0
302.3,28.1,167,0
302.2,45.6,87,0
300.1,45.2,40,0
300.5,27.1,37,0
300.3,44.3,175,0
301.8,31.9,126,0
302.4,45.7,108,0
301.2,39.7,20,0
300.1,30.4,41,0
299.1,35.2,60,0
298.0,45.8,150,0
302.4,53.7,175,0
297.2,41.7,41,0
297.7,24.9,17,0
297.6,51.9,218,0
301.7,50.0,169,0
299.9,29.1,152,0
299.0,45.9,108,0
299.2,38.0,98,0
298.9,48.9,38,0
300.7,38.5,50,0
299.4,48.9,139,0
298.4,43.2,119,0
297.5,60.7,77,0
298.2,49.8,45,0
298.0,27.2,193,0
298.9,41.2,110,0
295.6,35.1,140,0
300.2,45.7,89,0
300.2,50.9,215,0
297.4,39.4,0,0
302.7,39.3,73,0
299.9,28.8,111,0
299.3,40.5,213,0
302.7,20.0,21,0
301.2,49.5,3,0
300.7,36.4,20,0
301.0,40.6,154,0
301.1,43.4,5,0
297.5,37.2,215,0
297.7,35.8,160,0
298.3,38.4,10,0
302.5,43.2,191,0
302.7,46.1,10,0
302.6,10.8,84,1
300.8,39.2,107,0
299.1,40.7,10,0
303.4,54.0,44,3
297.9,38.0,40,0
296.1,42.8,134,0
303.4,44.1,192,3
300.1,49.3,61,0
302.0,26.3,82,0
298.2,54.9,139,0
295.5,37.2,16,0
299.5,51.7,58,0
297.9,40.8,157,0
298.8,33.6,71,0
298.0,17.4,198,0
303.9,62.3,156,0
298.9,45.1,101,0
298.8,47.1,176,0
302.5,47.4,77,0
300.4,48.1,201,0
300.3,47.9,222,4
302.9,49.5,155,0
301.0,57.3,204,2
301.5,50.6,11,0
297.1,28.7,50,0
300.2,48.8,205,0
300.0,27.9,5,0
298.2,23.4,181,0
300.2,27.8,208,0
304.0,26.2,126,0
301.3,39.8,187,0
300.3,38.5,33,0
300.2,49.8,143,0
300.0,32.0,79,0
298.0,40.1,45,0
301.8,41.6,12,0
302.3,32.3,49,0
299.8,51.9,154,0
298.9,51.0,32,0
298.0,51.4,68,0
298.2,20.5,36,0
300.0,26.0,37,0
299.0,31.0,70,0
300.2,42.3,25,0
302.3,32.8,108,0
303.5,32.7,175,0
297.0,50.0,96,0
301.9,42.7,85,0
298.1,42.0,184,0
296.6,31.0,91,0
298.3,55.4,114,0
298.5,33.9,128,0
296.4,35.5,0,0
298.0,38.7,202,0
296.8,39.2,13,0
298.2,21.7,32,0
297.9,29.6,116,0
304.2,37.3,27,0
300.2,40.9,66,0
302.6,68.0,114,1
300.6,30.5,217,4
297.6,35.5,88,0
301.8,40.4,213,0
304.2,31.7,23,0
300.0,38.5,37,0
296.1,29.7,17,0
300.7,41.1,201,0
298.4,39.9,184,0
300.3,38.5,101,0
299.5,43.1,90,0
297.9,42.8,125,0
298.2,34.4,73,0
300.8,44.1,136,0
299.2,43.0,50,0
299.2,21.3,104,0
302.4,21.2,110,0
300.1,56.7,50,0
298.9,42.9,170,0
298.4,56.7,24,0
295.5,44.1,194,0
297.4,41.8,144,0
298.7,28.7,195,0
300.7,49.1,219,0
300.8,39.4,62,0
297.4,30.9,9,0
299.0,43.9,20,0
295.7,25.9,94,0
300.3,44.2,166,0
297.4,59.1,118,0
303.8,49.3,167,0
298.6,45.8,113,0
299.2,37.3,135,0
299.0,47.7,161,0
300.7,61.7,102,0
297.5,27.1,36,0
297.2,58.1,184,0
298.6,32.2,110,0
302.0,47.2,54,0
303.8,20.2,131,0
302.9,40.6,139,0
300.3,28.9,198,0
299.2,52.0,34,0
302.7,29.0,209,0
295.8,31.6,95,0
303.7,34.8,50,0
299.3,33.7,76,0
297.3,60.4,12,0
299.6,35.8,81,0
302.1,30.7,203,0
299.7,27.7,203,0
303.8,41.7,125,0
300.5,41.1,34,0
297.6,40.4,127,0
304.1,45.5,188,0
297.6,36.9,61,0
297.1,36.8,215,0
301.7,32.4,204,0
302.6,30.1,62,0
298.2,43.8,171,0
300.7,31.3,90,0
304.2,50.5,11,0
298.0,38.1,58,0
298.8,30.4,209,0
303.5,52.9,80,0
302.0,46.6,165,0
303.6,31.5,105,0
300.0,41.6,81,0
300.8,52.5,157,0
300.1,33.4,186,0
300.9,36.2,208,0
299.8,28.5,23,0
298.3,33.6,67,0
298.7,30.8,141,0
298.4,40.1,179,0
300.6,29.9,100,0
298.9,33.0,221,0
299.0,48.6,0,0
301.2,56.6,39,0
